"INVOICENUMBER";"PRODUCTNUMBER";"PRODUCTDESCRIPTION";"INVOICEDQUANTITY";"SALESPRICE";"LINEAMOUNT";"LINETOTALTAXAMOUNT";"LINETOTALDISCOUNTAMOUNT";"LINETOTALCHARGEAMOUNT"
FCB-06382-00013189;HYHNGZEU007W_JR_1;"Gorra Hydro P.U Polyflex 3.0
La Gorra Hydro Pu Polyflex 3.0 de silicona protege el cabello de los más chicos mientras hacen natación. Confeccionada con un diseño minimalista y el logo de la marca en uno de sus laterales, es el accesorio perfecto para su entrenamiento bajo el agua. E";1.0;5699.0;4709.92;989.08;0.0;0.0
FCB-06382-00013190;NISX7803-010_L_1;"Pack de Medias Nike Everyday Lightweight X3
El Pack de Medias Nike Everyday Lightweight trae tres pares de medias cómodas y adaptables para que entrenes con toda la comodidad y calidad que Nike tiene para ofrecerte. Llevalo y que nunca te falten los accesorios más básicos para ejercitarte.";1.0;9499.0;7850.41;1648.59;0.0;0.0
FCB-06382-00013190;LONASS23904_39-45_1;"Pack De Medias Lotto Flow
Pack De Medias Lotto Flow";1.0;3799.0;3139.67;659.33;0.0;0.0
FCB-06226-00019443;LONPFFW210M2_L_1;"Muñequera Lotto Team Neoprene
La Muñequera Lotto Team Neop contribuye a una rápida desinflamación y recuperación de lesiones, aplicando compresión y calor terapéutico  El ajuste moderado y peso ligero conforman un producto ideal para utilizar durante la práctica deportiva. Mantiene l";1.0;5999.0;4957.85;1041.15;0.0;0.0
FCB-05014-00003867;RI61690AA630_38_1;"Sandalias Rider Free Style Sand
Las Sandalias Rider Free Style Sand Ad se ajustan a tus pies para acompañarte en todas tus aventuras. Se encuentran confeccionadas en PVC, con un diseño ergonómico para brindarte comodidad junto a la plantilla muy cómoda y suela antideslizante.. El color";1.0;16699.0;13800.83;2898.17;0.0;0.0
FCB-06226-00019444;RI11672AE898_30_1;"Ojotas Rider Free Papete
Ojotas Rider Free Papete";1.0;18599.0;15371.07;3227.93;0.0;0.0
FCB-06261-00041451;ADIU8397_M_1;"Medias adidas Argentina
Medias adidas Argentina";1.0;11999.0;9916.53;2082.47;0.0;0.0
FCB-06261-00041422;NIDV9328-010_L_1;"Short Nike Totality I
Short Nike Totality I";1.0;48799.0;40329.75;8469.25;0.0;0.0
FCB-06228-00025857;TO25600_32_1;"Zapatillas Topper Gondor III
Para las experiencias más aventureras de los más pequeños, las Zapatilla sTopper Gondor III son ideales. Con una versión renovada, pero el mismo confort que siempre, este calzado permite que ellos practiquen sus actividades sin incomodidades gracias a su";1.0;47999.0;39668.6;8330.4;0.0;0.0
FCB-05043-00003299;NIDQ7470-010_M_1;Short Jordan Essential;1.0;58499.0;48346.28;10152.72;0.0;0.0
FCB-06417-00017183;TO25555_41_1;Zapatillas Topper Costa;1.0;55899.0;46197.52;9701.48;0.0;0.0
FCB-06389-00016422;TO25291_38_1;Devolucion;-1.0;37599.0;-24548.1;-6525.45;0.0;0.0
FCB-06389-00016422;TO25291_38_1;"Zapatillas Topper Jiro
Las nuevas Zapatillas Topper Jiro están pensadas para que luzcas un estilo clásico, canchero y combinable con cualquier look.";1.0;37599.0;24548.1;6525.45;0.0;0.0
FCB-05023-00003195;LONISS22055_L_1;Devolucion;-1.0;9999.0;-8263.64;-1735.36;0.0;0.0
FCB-06228-00025863;PU389007-01_10_1;Devolucion;-1.0;37999.0;-28924.79;-6074.21;0.0;0.0
FCB-05023-00003195;LONISS230082_XL_1;"Remera Lotto Smart
Remera Lotto Smart";1.0;12999.0;10742.97;2256.03;0.0;0.0
FCB-05023-00003195;LONISS230003_XL_1;"Remera Lotto Izologist
Remera Lotto Izologist";1.0;12999.0;10742.98;2256.02;0.0;0.0
FCB-06228-00025863;NICN9675-002_13_1;Ojotas Nike Victori One Slide;1.0;44999.0;37189.26;7809.74;0.0;0.0
FCB-06228-00025863;DGDUOJEU004I_KD_1;Rodillera Dribbling Volley Jump;1.0;15099.0;12478.51;2620.49;0.0;0.0
FCB-06389-00016423;LONC2164668SM_9.5_1;"Botines Lotto Solista 700 V Tf
Botines Lotto Solista 700 V Tf";1.0;42999.0;35536.36;7462.64;0.0;0.0
FCB-06228-00025866;HYHNIVMA014HG_14_1;Traje de baño Hydro Lines;1.0;18899.0;15619.01;3279.99;0.0;0.0
FCB-06228-00025867;FIF12L01000-7711_L_1;"Short Fila Tie Dye
Short Fila Tie Dye";1.0;21899.0;18098.35;3800.65;0.0;0.0
FCB-06417-00017188;PU107804-01_13_1;"Botines Puma Future Play Tt
Botines Puma Future Play Tt";1.0;81999.0;67767.77;14231.23;0.0;0.0
FCB-06417-00017188;PU678300-03_3_1;"Medias Puma Liga Team
Medias Puma Liga Team";1.0;10999.0;9090.08;1908.92;0.0;0.0
FCB-06228-00025868;LONISS230222_L_1;"Short Lotto Run Empowerment
Short Lotto Run Empowerment";1.0;22999.0;19007.44;3991.56;0.0;0.0
FCB-06417-00017189;DI79800100010_42_1;"Botines Diadora Torneo Campo
Botines Diadora Torneo Campo";1.0;33999.0;28098.35;5900.65;0.0;0.0
FCB-06262-00033919;PU384288-26_10_1;"Zapatillas Puma Graviton Pro
Zapatillas Puma Graviton Pro";1.0;97999.0;80990.91;17008.09;0.0;0.0
FCB-06417-00017190;HYHNLZDU017U_SR_1;"Antiparras Hydro Mask 2.1
Elegí el estilo que prefieras pero con las renovadas Antiparras Hydro Mask 21, son ideas para cada entrenamiento. Sus lentes de policarbonato y su amplio borde de silicona, te brindan gran capacidad de succión y seguridad en cada movimiento, protegiendo";1.0;8699.0;7189.25;1509.75;0.0;0.0
FCB-06417-00017190;LONPFFW210M3_U_1;"Muñequera Lotto Team Neoprene
La muñequera Lotto Team contribuye a una rápida desinflamación y recuperación de lesiones, aplicando compresión y calor terapéutico  Su peso ligero y ajuste regulable conforman un producto ideal para utilizar durante la práctica deportiva. Mantiene la ar";1.0;7599.0;6280.17;1318.83;0.0;0.0
FCB-06262-00033920;RI83331AD447_38_1;"Ojotas Rider Pool Iv
Ojotas Rider Pool Iv";1.0;16699.0;13800.83;2898.17;0.0;0.0
FCB-06262-00033921;LONISS230203_XXXL_1;"Remera Lotto Run Fast
Remera Lotto Run Fast";1.0;23999.0;19833.88;4165.12;0.0;0.0
FCB-06262-00033922;ADIG2376_9_1;"Zapatillas adidas Duramo Speed
Zapatillas adidas Duramo Speed";1.0;125999.0;104131.4;21867.6;0.0;0.0
FCB-06262-00033923;ADGX3090_8_1;Zapatillas adidas Run 70S Lifestyle;1.0;102999.0;85123.14;17875.86;0.0;0.0
FCB-06262-00033924;AM2113092510_25_1;"Zapatillas Atomik Ruelle
Zapatillas Atomik Ruelle";1.0;38399.0;31734.71;6664.29;0.0;0.0
FCB-06262-00033925;PU385038-24_8_1;"Zapatillas Puma Graviton Ac Inf
Zapatillas Puma Graviton Ac Inf";1.0;54999.0;45453.72;9545.28;0.0;0.0
FCB-06260-00019060;ADHP9394_8_1;Ojotas adidas Adilette Aqua Slides;1.0;36999.0;30577.69;6421.31;0.0;0.0
FCB-06262-00033931;ADHY0438_S_1;"Buzo adidas River Plate Entrenamiento 24/24
Buzo adidas River Plate Entrenamiento 24/24";1.0;99999.0;82643.8;17355.2;0.0;0.0
FCB-05036-00003221;NIDH3250-015_OS_1;Riñonera Nike Resonator Low;1.0;42599.0;35205.79;7393.21;0.0;0.0
FCB-06261-00041450;LONIFW230242_L_1;Pantalon Lotto Athletica Due;1.0;24999.0;20660.33;4338.67;0.0;0.0
FCB-06228-00025880;NICD4165-001_8.5_1;"Zapatillas Nike Air Max Excee
Lucí con estilo en tus entrenamientos o en tu día a día gracias a las Zapatillas Nike Air Max Excee, su tecnología Air max te brinda mejores y amortiguadas pisadas que te harán sentir seguro y confiado en cualquier momento que las lleves puestas.";1.0;149999.0;123966.12;26032.88;0.0;0.0
FCB-06382-00013206;DUUTPVFV013Z_Z_1;Tubo de pelotas Dunlop New Clay Court X4;1.0;17299.0;14296.69;3002.31;0.0;0.0
FCB-06408-00018638;LONISS230169_L_1;"Remera Lotto Seamless Calm
Remera Lotto Seamless Calm";1.0;16999.0;14048.76;2950.24;0.0;0.0
FCB-06408-00018638;TO166266_L_1;"Remera Topper Brand
Remera Topper Brand";1.0;12599.0;10412.4;2186.6;0.0;0.0
FCB-06408-00018638;PU907658-01_L_1;"Traje de baño Puma Length
Confort y estilo combinados en un short corto para que exprimas cada minuto del verano, el Traje de baño Puma Length está confeccionado en poliéster reciclado e incluye tejido de secado rápido y resistente al cloro. Su interior posee un forro de malla su";1.0;20899.0;17271.9;3627.1;0.0;0.0
FCB-06228-00025881;UBU01FB002015-121_40_1;Botines Umbro Class Sintetico;1.0;51999.0;42974.38;9024.62;0.0;0.0
FCB-06419-00017411;NIDV7408-100_6.5_1;"Zapatillas Nike Air More Uptempo
Zapatillas Nike Air More Uptempo";1.0;279999.0;231404.13;48594.87;0.0;0.0
FCB-05035-00002123;URNIFW232079_M_1;Remera Urbo Stream;1.0;12999.0;10742.98;2256.02;0.0;0.0
FCB-05035-00002123;TO165511_M_1;"Short Topper Rx3 Baumm
El Short Topper Rx3 Baumm es perfecto para los días en los que la comodidad es tu objetivo principal. La parte superior holgada y los bolsillos laterales marcan el diseño de este short. El detalle de la cinta tejida aplicada en el lateral exclusiva de la";1.0;19799.0;16362.81;3436.19;0.0;0.0
FCB-05035-00002123;TO165558_M_1;"Bermuda Topper Ng 1975
Bermuda Topper Ng 1975";1.0;9899.0;8180.99;1718.01;0.0;0.0
FCB-06389-00016429;LONISS22131_S_1;Short Lotto Speed Evo;-1.0;9500.0;-7851.24;-1648.76;0.0;0.0
FCB-06389-00016429;PU671074-01_S_1;"Short Puma Active 4"" Woven
El Short Puma Active 4"" Woven están diseñados para entregarte liviandad, frescura para tus entrenamientos más esforzados. Su tecnología dryCELL te mantiene fresca y seca en todo momento, ya que aleja la transpiración de tu cuerpo. Su diseño elegante, te";1.0;17399.0;14379.34;3019.66;0.0;0.0
FCB-06417-00017199;PU392430-02_5.5_1;Devolucion;-1.0;107999.0;-48180.99;-10118.01;0.0;0.0
FCB-06417-00017199;AM0113105010_33_1;"Zapatillas Atomik Scale-h
Zapatillas Atomik Scale-h";1.0;47900.0;39586.77;8313.23;0.0;0.0
FCB-06417-00017199;LONIFW22271_10_1;"Top Lotto Universal
Mantenete cómoda y lucí un look deportivo simple y femenino con el Top Lotto Universal. Su ajuste es perfecto para mantenerte firme al momento de dar tu máximo esfuerzo y la espalda cruzada queda muy elegante para combinar con tus shorts o calzas favorit";1.0;11499.0;9503.31;1995.69;0.0;0.0
FCB-06262-00033936;SAA2217427101_XL_1;"Short Saucony Elevate 4
Short Saucony Elevate 4";1.0;48899.0;40412.4;8486.6;0.0;0.0
FCB-06261-00041463;PU385033-29_5_1;"Ojotas Puma Popcat 20
Ojotas Puma Popcat 20";1.0;34999.0;28924.79;6074.21;0.0;0.0
FCB-06261-00041463;PU938020-04_35-39_1;"Pack De Medias Puma Heart Short
Pack De Medias Puma Heart Short";1.0;6599.0;5453.72;1145.28;0.0;0.0
FCB-06261-00041464;HV41470860076_37/38_1;Ojotas Havaianas Top;1.0;6199.0;5123.14;1075.86;0.0;0.0
FCB-06261-00041464;PU907953-04_35-39_1;Pack de medias Puma Lifestyle Quarter;1.0;5299.0;4379.34;919.66;0.0;0.0
FCB-06261-00041465;LONAFW231006_1_1;Mochila Lotto Essence;1.0;22999.0;19007.44;3991.56;0.0;0.0
FCB-06591-00016592;SUS1S1161NW-S999_42_1;"Zapatillas Superga 2750 Cotu
Ideales para utilizarlas en tus actividades diarias, para vos que tenés un look clásico y casual, las Zapatillas Superga 2750 Cotu son perfectas por su construcción en lona las hace resistentes y su suela de caucho vulcanizado te da mejor agarre sobre cu";1.0;27599.0;22809.09;4789.91;0.0;0.0
FCB-06472-00007931;PU392340-02_12_1;"Zapatillas Puma Rs-x Triple
Zapatillas Puma Rs-x Triple";1.0;153999.0;127271.9;26727.1;0.0;0.0
FCB-06261-00041467;NIDD5935-010_S_1;Short Nike Dri-Fit Tempo Race;1.0;47499.0;39255.37;8243.63;0.0;0.0
FCB-05036-00003224;PU024080-02_120_1;Gorra Puma Lightweight;1.0;29999.0;24792.56;5206.44;0.0;0.0
FCB-05036-00003224;DGDCABVV001BT_U_1;Botella Dribbling 21 - 750 Cc;1.0;2799.0;2313.22;485.78;0.0;0.0
FCB-05036-00003224;CRSC10007656-C99_UNICO_1;"Pines Crocs Jibbitz Disney Mickey Mouse Face
Pines Crocs Jibbitz Disney Mickey Mouse Face";1.0;3999.0;3304.96;694.04;0.0;0.0
FCB-06261-00041468;NIDC3729-003_9_1;Zapatillas Nike Revolution 6 Next Nature;1.0;96999.0;80164.46;16834.54;0.0;0.0
FCB-06419-00017406;NISX7678-100_L_1;"Pack de Medias Nike Everyday Lightweight X3
El Pack de Medias Nike Everyday Lightweight x3 contiene tres pares de medias y están confeccionadas en materiales ligeros lo que te proporciona comodidad y libertad de movimiento durante tu jornada. Su diseño incorpora el swoosh en el empeine que llama l";1.0;9499.0;7850.41;1648.59;0.0;0.0
FCB-06419-00017406;NISX7803-100_L_1;"Pack de Medias Nike Everyday Lightweight X3
El Pack de Medias Nike Everyday Lightweight contiene tres pares de medias y están confeccionadas en materiales ligeros lo que te proporciona comodidad y libertad de movimiento durante tu jornada. Su diseño incorpora el swoosh en el tobillo que llama la a";1.0;9499.0;7850.41;1648.59;0.0;0.0
FCB-06419-00017406;NISX7676-100_L_1;Pack de medias Nike Everyday X3;1.0;9999.0;8263.64;1735.36;0.0;0.0
FCB-06419-00017407;TO81154_39_1;"Zapatillas Topper Terre Denim
Zapatillas Topper Terre Denim";1.0;21899.0;18098.35;3800.65;0.0;0.0
FCB-06228-00025875;TO25555_44_1;Zapatillas Topper Costa;1.0;55899.0;46197.52;9701.48;0.0;0.0
FCB-06261-00041460;PU379390-01_6_1;"Zapatillas Puma Run Xx Nitro 2
Zapatillas Puma Run Xx Nitro 2";1.0;142999.0;118180.99;24818.01;0.0;0.0
FCB-06228-00025879;PU677178-01_L_1;"Musculosa Puma Essentials Logo
Musculosa Puma Essentials Logo";1.0;17599.0;14544.63;3054.37;0.0;0.0
FCB-06472-00007928;NISX7676-010_L_1;Pack de medias Nike Everyday x3;1.0;9999.0;8263.64;1735.36;0.0;0.0
FCB-06472-00007929;FIF01L019-980_42_1;"Zapatillas Fila Arcade Low
Zapatillas Fila Arcade Low";1.0;95999.0;79338.02;16660.98;0.0;0.0
FCB-06419-00017410;URNISS22056_M_1;Devolucion;-1.0;10999.0;-7181.16;-1908.92;0.0;0.0
FCB-06382-00013207;TO165404_M_1;Devolucion;-1.0;26399.0;-17235.72;-4581.64;0.0;0.0
FCB-06419-00017410;URNISS22063_S_1;"Calza Urbo Plain Ciclista
Perfecta para tus jornadas de entrenamiento o competencia la Calza Urbo Plain Ciclista. Cuenta con un logo superior en el muslo izquierdo que te da toda la onda. Su cintura alta y elástica te mantiene cubierta mientras te estiras y flexionas, su construc";1.0;10999.0;7181.16;1908.92;0.0;0.0
FCB-06382-00013207;TO165404_L_1;"Musculosa Topper Yoga
Lográ la comodidad que necesitas en tus prácticas de yoga o en tu rutina diaria con la Musculosa Topper Yoga. Se encuentra confeccionada en algodón para brindarte suavidad y ligereza en tus movimientos. Su estampa en el pecho te inspirará en cada uno de";1.0;26399.0;17235.72;4581.64;0.0;0.0
FCB-06472-00007932;NI95C643-023_M_1;"Buzo Jordan Patch Pack
Buzo Jordan Patch Pack Infantil";1.0;65199.0;53883.47;11315.53;0.0;0.0
FCB-06591-00016593;PU907947-01_35-39_1;Pack de Medias Puma Bwt Sneaker x2;1.0;5899.0;4875.21;1023.79;0.0;0.0
FCB-06591-00016593;PU907947-02_35-39_1;Pack de Medias Puma Bwt Sneaker x2;1.0;5899.0;4875.21;1023.79;0.0;0.0
FCB-06591-00016593;NISX7677-010_M_1;Pack De Medias Nike Everyday X3;1.0;9499.0;7850.41;1648.59;0.0;0.0
FCB-06419-00017412;NIFB2048-001_11_1;"Zapatillas Nike Air Force 1 07 Lv8
Zapatillas Nike Air Force 1 07 Lv8";1.0;199999.0;165288.43;34710.57;0.0;0.0
FCB-06472-00007933;CO157196C_9_1;"Zapatillas Converse Chuck Taylor All Star Core Ox
Si buscas unas zapatillas para usar a toda hora y en todo lugar, las Zapatillas Converse Chuck Taylor All Star Core Ox son para vos. Te dan la versatilidad que quieres para combinarlas con lo mejor que tengas en el ropero sin perder el estilo y la comodi";1.0;79499.0;65701.65;13797.35;0.0;0.0
FCB-06417-00017197;TO172552_UNI_1;"Mochila Topper Laptop Ii
Mochila Topper Laptop Ii";1.0;38999.0;32230.58;6768.42;0.0;0.0
FCB-06261-00041487;PU052919-09_110_1;"Gorra Puma Essentials
La gorra Puma Essentials posee un diseño básico y casual fácil de combinar para salir a la calle o para ir a entrenar. Su construcción de algodón con seis paneles se ajusta perfecto en tu cabeza, mientras que los orificios brindan una mayor ventilación p";1.0;24999.0;20660.33;4338.67;0.0;0.0
FCB-06261-00041487;NICU9892-068_OS_1;Gorra Nike Legacy91;1.0;30799.0;25453.72;5345.28;0.0;0.0
FCB-06261-00041487;PU906807-03_1_1;"Pack de medias Puma Invisible
El pack de medias Puma Invisible Sneakers está confeccionado en algodón, poliamida y elastano para una máxima comodidad y libertad de movimiento en todo el día. Contiene 3 pares de medias con el logo PUMA Cat que te acompañarán en cualquier actividad que";2.0;6399.0;10576.86;2221.14;0.0;0.0
FCB-06261-00041487;NISX7678-964_S_1;"Pack de Medias Nike Everyday Lightweight X3
El Pack de Medias Nike Everyday Lightweight x3 contiene tres pares de medias y están confeccionadas en materiales ligeros lo que te proporciona comodidad y libertad de movimiento durante tu jornada. Su diseño incorpora el swoosh en el empeine que llama l";2.0;9499.0;15700.83;3297.17;0.0;0.0
FCB-06261-00041487;TO165801_L_1;"Remera Topper Push
Remera Topper Push";1.0;26399.0;21817.36;4581.64;0.0;0.0
FCB-06261-00041487;TO166562_L_1;"Pantalon Topper Rtc
Pantalon Topper Rtc";1.0;42299.0;31817.36;6681.64;3140.49;0.0
FCB-06261-00041487;ADGN4033_1314_1;"Pantalon Adidas Essentials French Terry
Con un diseño urbano, el Pantalón Adidas Essentials French Terry asegura un look moderno para los más chicos de la familia. Su composición aporta suavidad y resistencia a todas sus actividades; los bolsillos les permiten llevar lo que necesiten con ellos";1.0;61699.0;46114.86;9684.14;4876.05;0.0
FCB-06228-00025900;DGDFPVDL194UR_5_1;Devolucion;-1.0;15199.0;-11073.55;-2325.45;0.0;0.0
FCB-06228-00025900;DGDFPVDZ045BS_5_1;Pelota Dribbling San Lorenzo;1.0;20699.0;17106.61;3592.39;0.0;0.0
FCB-06591-00016604;COCTN0123015_L_1;"Remera Converce Grow
Remera Converce Grow";1.0;25499.0;21073.55;4425.45;0.0;0.0
FCB-06591-00016605;HV41445373544_37/38_1;"Ojotas Havaianas Slim Flatform
Conocé las Ojotas Havaianas Slim Flatform y convertite en el centro de las miradas de la próxima temporada. Confeccionadas en goma, este modelo luce una suela de 3 cm. con la que ganás altura. Estilo, comodidad y onda ¡todos los días!";1.0;16099.0;13304.96;2794.04;0.0;0.0
FCB-06419-00017418;PU394945-01_10.5_1;"Zapatillas Puma Slipstream Bball
Zapatillas Puma Slipstream Bball";1.0;171999.0;142147.93;29851.07;0.0;0.0
FCB-06382-00013210;PU379363-01_5_1;Devolucion;-1.0;76999.0;-50272.08;-13363.46;0.0;0.0
FCB-06382-00013210;PU379363-01_5_1;"Zapatillas Puma Disperse Xt 3 Marbleized
Zapatillas Puma Disperse Xt 3 Marbleized";1.0;76999.0;50272.08;13363.46;0.0;0.0
FCB-06261-00041484;TO25486_37_1;Devolucion;-1.0;41399.0;-34214.05;-7184.95;0.0;0.0
FCB-06261-00041484;LONISS230083_M_1;Devolucion;-1.0;12999.0;-10742.98;-2256.02;0.0;0.0
FCB-06261-00041484;LONISS230084_M_1;Devolucion;-1.0;12999.0;-10742.98;-2256.02;0.0;0.0
FCB-06261-00041484;TO25486_39_1;"Zapatillas Topper Rod Ii
Las Zapatillas Topper Rod II combinan la pasión y dedicación al tenis con elementos modernos que le aportan un look único. Los orificios en su capellada mejoran la respirabilidad y la suela de Phylon tiene una base de goma y está específicamente diseñada";1.0;41399.0;34214.05;7184.95;0.0;0.0
FCB-06261-00041484;LONISS230083_L_1;"Remera Lotto Smart
Remera Lotto Smart";1.0;12999.0;10742.98;2256.02;0.0;0.0
FCB-06261-00041484;UBU11L00529-6367_L_1;"Remera Umbro Efecto
Remera Umbro Efecto";1.0;11299.0;9338.02;1960.98;0.0;0.0
FCB-06261-00041484;TO165454_L_1;"Remera Topper Basicos
¡Que nunca falten los básicos cuando hacés tu rutina ! Lleva la Remera Topper Básicos y disfruta siempre de la suavidad y versatilidad que tiene para ofrecer. El corte clásico se combina con una tela suave para brindarte una prenda que se adapta a toda t";1.0;12599.0;10412.4;2186.6;0.0;0.0
FCB-06261-00041484;PU888869-60_M_1;Boxer Puma Basic;1.0;8999.0;7437.19;1561.81;0.0;0.0
FCB-06261-00041485;PU378851-01_5.5_1;Devolucion;-1.0;89999.0;-74379.34;-15619.66;0.0;0.0
FCB-06261-00041485;PU379380-01_5_1;"Zapatillas Puma Electrify Nitro 3
Zapatillas Puma Electrify Nitro 3";1.0;99999.0;82643.8;17355.2;0.0;0.0
FCB-06261-00041485;LONASS23904_39-45_1;"Pack De Medias Lotto Flow
Pack De Medias Lotto Flow";1.0;3799.0;3139.67;659.33;0.0;0.0
FCB-06261-00041485;LONASS23903_35-40_1;"Pack De Medias Lotto Flow
Pack De Medias Lotto Flow";1.0;3799.0;3139.67;659.33;0.0;0.0
FCB-05036-00003228;TO25743_38_1;Devolucion;-1.0;64499.0;-53304.96;-11194.04;0.0;0.0
FCB-05036-00003228;ADHQ1476_7_1;"Zapatillas adidas Ultrabounce
Zapatillas adidas Ultrabounce";1.0;99999.0;82643.8;17355.2;0.0;0.0
FCB-05049-00003923;PU389021-02_5_1;"Zapatillas Puma Slipstream Retro
Zapatillas Puma Slipstream Retro";1.0;161999.0;133883.47;28115.53;0.0;0.0
FCB-06472-00007947;ADID4713_9_1;"Zapatillas adidas Nmd_r1
Zapatillas adidas Nmd_r1";1.0;82999.0;68594.21;14404.79;0.0;0.0
FCB-05049-00003925;NIDV7470-100_8_1;"Zapatillas Nike Air Force 1 07
Zapatillas Nike Air Force 1 07";1.0;177999.0;147106.61;30892.39;0.0;0.0
FCB-06228-00025905;NIDN3577-600_12_1;"Zapatillas Nike Court Vision Mid Next Nature
Zapatillas Nike Court Vision Mid Next Nature";1.0;119999.0;99172.73;20826.27;0.0;0.0
FCB-06472-00007950;PU538067-01_XL_1;"Short Puma Run Favorite Aop
Short Puma Run Favorite Aop";1.0;54999.0;45453.72;9545.28;0.0;0.0
FCB-06228-00025906;PU396036-01_9_1;"Zapatillas Puma Vis2k Sl
Zapatillas Puma Vis2k Sl";1.0;114999.0;95040.5;19958.5;0.0;0.0
FCB-06472-00007951;PU533598-01_M_1;"Musculosa Puma Hf
Musculosa Puma Hf";1.0;27899.0;23057.02;4841.98;0.0;0.0
FCB-05036-00003227;LONAFW231006_1_1;Mochila Lotto Essence;1.0;22999.0;19007.44;3991.56;0.0;0.0
FCB-05049-00003920;ADGW9782_7_1;Devolucion;-1.0;92399.0;-60326.62;-16036.19;0.0;0.0
FCB-05049-00003920;ADGW9782_6_1;Ojotas adidas Pouchylette;1.0;92399.0;60326.62;16036.19;0.0;0.0
FCB-05023-00003196;NIDA0483-013_S_1;Devolucion;-1.0;60899.0;-50329.75;-10569.25;0.0;0.0
FCB-05023-00003196;PU671157-01_S_1;"Calza Puma Favorite Forever High Waist 7/8
La Calza Puma Favorite Forever High Waist 7/8 ofrece la máxima libertad de movimiento y presenta una confección repelente de la humedad. Es una perfecta elección para tus intensas y reparadoras sesiones de yoga, prácticar tu deporte favorito o salir a co";1.0;38999.0;32230.58;6768.42;0.0;0.0
FCB-05023-00003196;HV41484991191_39/40_1;Ojotas Havaianas Slim Floral;1.0;9799.0;8098.35;1700.65;0.0;0.0
FCB-05023-00003196;HV41460540090_43/44_1;Ojotas Havaianas Hybrid City;1.0;14499.0;11982.64;2516.36;0.0;0.0
FCB-06382-00013212;HYHNLZEU005I_JR_1;"Antiparra Hydro Unibody 2.0
Las Antiparras Hydro Unibody 2.0 son el accesorio perfecto para los amantes del agua; su agarre de silicona garantiza un calce ideal que no permite fugas y la tecnología Anti-Fog evita el empañamiento para mejorar la comodidad.";1.0;7699.0;6362.81;1336.19;0.0;0.0
FCB-06382-00013212;HYHNGZEU007Y_JR_1;"Gorra Hydro P.U Polyflex 3.0
La gorra Hydro de silicona protege tu cabello mientras hacés natación. Confeccionada con un diseño minimalista y el logo de la marca en uno de sus laterales, es el accesorio perfecto para tu entrenamiento bajo el agua. El modelo Polyflex 3.0 reduce las f";1.0;5699.0;4709.92;989.08;0.0;0.0
FCB-06389-00016433;TO25680_40_1;"Zapatillas Topper Dakota
Las Zapatillas Topper Dakota están inspiradas en el running. Sus mejoras en amortiguación, flexibilidad y durabilidad hacen que sean las preferidas por los amantes de la moda y el deporte. Comprobalo vos mismo y supera tus expectativas con este calzado m";1.0;47699.0;39420.66;8278.34;0.0;0.0
FCB-06261-00041498;HYHNLZDU015U_SR_1;"Antiparra Hydro Odissey 21
Ideales para tus entrenamientos de intensidad media, las Antiparras Hydro Odissey 21, las tiras en silicona son hipoalergénicas cuidan de tu piel y en la parte posterior tienen una hebilla de ajuste rápido que te da mejor confort. Sus lentes en policarbo";1.0;6299.0;5205.79;1093.21;0.0;0.0
