"INVOICENUMBER";"invoicedate";"TOTALINVOICEAMOUNT";"TOTALTAXAMOUNT";"TOTALCHARGEAMOUNT";"INVOICECUSTOMERACCOUNTNUMBER";"INVOICEADDRESSCITY";"WAREHOUSE"
FCB-06227-00030031;2024-02-16 00:00:00.000;20999.0;3644.45;0.0;CL-0742059;"";"014"
FCB-06227-00030032;2024-02-16 00:00:00.000;50049.35;8686.25;0.0;CL-1245803;"";"014"
FCB-06227-00030034;2024-02-16 00:00:00.000;18699.0;3245.28;0.0;CL-2790451;"";"014"
FCB-06227-00030035;2024-02-16 00:00:00.000;25999.0;4512.22;0.0;CL-0694941;"";"014"
FCB-06227-00030036;2024-02-16 00:00:00.000;49999.0;8677.51;0.0;CL-1318825;"";"014"
FCB-06227-00030037;2024-02-16 00:00:00.000;44999.0;7809.74;0.0;CL-2790627;"";"014"
FCB-06227-00030038;2024-02-16 00:00:00.000;124999.0;21694.04;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030039;2024-02-16 00:00:00.000;74999.4;13016.42;0.0;CL-2790704;"";"014"
FCB-06227-00030040;2024-02-16 00:00:00.000;77999.0;13537.02;0.0;CL-2790744;"";"014"
FCB-06227-00030041;2024-02-16 00:00:00.000;67899.0;11784.12;0.0;CL-0699671;"";"014"
FCB-06227-00030042;2024-02-16 00:00:00.000;119398.8;20722.11;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030043;2024-02-16 00:00:00.000;0.0;0.0;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030044;2024-02-16 00:00:00.000;55999.0;9718.83;0.0;CL-1989447;"";"014"
FCB-06227-00030045;2024-02-16 00:00:00.000;133498.0;23169.07;0.0;CL-2791036;"";"014"
FCB-06227-00030046;2024-02-16 00:00:00.000;95538.65;16581.09;0.0;CL-2791073;"";"014"
FCB-06227-00030047;2024-02-16 00:00:00.000;71497.0;12408.57;0.0;CL-0081502;"";"014"
FCB-06227-00030048;2024-02-16 00:00:00.000;207196.0;35959.64;0.0;CL-2791219;"";"014"
FCB-06227-00030050;2024-02-16 00:00:00.000;67149.15;11653.98;0.0;CL-1988759;"";"014"
FCB-06227-00030051;2024-02-16 00:00:00.000;38499.45;6681.72;0.0;CL-0878512;"";"014"
FCB-06227-00030052;2024-02-16 00:00:00.000;59999.4;10413.12;0.0;CL-0137604;"";"014"
FCB-06227-00030053;2024-02-16 00:00:00.000;84998.0;14751.72;0.0;CL-2791360;"";"014"
FCB-06227-00030054;2024-02-16 00:00:00.000;0.0;0.0;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030055;2024-02-16 00:00:00.000;55999.0;9718.83;0.0;CL-1962581;"";"014"
FCB-06227-00030056;2024-02-16 00:00:00.000;45359.2;7872.26;0.0;CL-2791484;"";"014"
FCB-06227-00030057;2024-02-16 00:00:00.000;0.0;0.0;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030058;2024-02-16 00:00:00.000;104999.0;18222.97;0.0;CL-2791590;"";"014"
FCB-06227-00030059;2024-02-16 00:00:00.000;83999.4;14578.41;0.0;CL-2206376;"";"014"
FCB-06227-00030060;2024-02-16 00:00:00.000;66798.0;11593.04;0.0;CL-1399605;"";"014"
FCB-06227-00030061;2024-02-16 00:00:00.000;124998.15;21693.89;0.0;CL-2791749;"";"014"
FCB-06227-00030062;2024-02-16 00:00:00.000;14998.0;2602.96;0.0;CL-2791852;"";"014"
FCB-06227-00030064;2024-02-16 00:00:00.000;10999.0;1908.92;0.0;CL-2791921;"";"014"
FCB-06227-00030065;2024-02-16 00:00:00.000;149999.0;26032.88;0.0;CL-2791993;"";"014"
FCB-06227-00030066;2024-02-16 00:00:00.000;104998.94;18222.96;0.0;CL-1456346;"";"014"
FCB-06227-00030067;2024-02-16 00:00:00.000;99999.0;17355.2;0.0;CL-0738822;"";"014"
FCB-06227-00030068;2024-02-16 00:00:00.000;117299.15;20357.7;0.0;CL-0738822;"";"014"
FCB-06227-00030070;2024-02-16 00:00:00.000;84699.0;14699.83;0.0;CL-2792208;"";"014"
FCB-06227-00030071;2024-02-16 00:00:00.000;49999.0;8677.51;0.0;CL-0057205;"";"014"
FCB-06227-00030072;2024-02-16 00:00:00.000;44999.0;7809.74;0.0;CL-2792303;"";"014"
FCB-06227-00030073;2024-02-16 00:00:00.000;49999.0;8677.51;0.0;CL-2792305;"";"014"
FCB-06227-00030074;2024-02-16 00:00:00.000;38499.0;6681.64;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030075;2024-02-17 00:00:00.000;14699.4;2551.14;0.0;CL-2792752;"";"014"
FCB-06227-00030076;2024-02-17 00:00:00.000;99999.0;17355.2;0.0;CL-2793638;"";"014"
FCB-06227-00030077;2024-02-17 00:00:00.000;48298.5;8382.38;0.0;CL-1046395;"";"014"
FCB-06227-00030079;2024-02-17 00:00:00.000;25999.0;4512.22;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030080;2024-02-17 00:00:00.000;93897.0;16296.17;0.0;CL-2793716;"";"014"
FCB-06227-00030081;2024-02-17 00:00:00.000;49999.0;8677.51;0.0;CL-1767013;"";"014"
FCB-06227-00030082;2024-02-17 00:00:00.000;79998.0;13883.95;0.0;CL-1015048;"";"014"
FCB-06227-00030083;2024-02-17 00:00:00.000;100998.0;17528.58;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030085;2024-02-17 00:00:00.000;70849.35;12296.17;0.0;CL-1845141;"";"014"
FCB-06227-00030086;2024-02-17 00:00:00.000;165577.2;28736.54;0.0;CL-2794012;"";"014"
FCB-06227-00030087;2024-02-17 00:00:00.000;195998.0;34016.18;0.0;CL-2794074;"";"014"
FCB-06227-00030088;2024-02-17 00:00:00.000;99998.0;17355.02;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030089;2024-02-17 00:00:00.000;15298.0;2655.02;0.0;CL-2794169;"";"014"
FCB-06227-00030090;2024-02-17 00:00:00.000;79665.3;13826.21;0.0;CL-2218796;"";"014"
FCB-06227-00030091;2024-02-17 00:00:00.000;29999.0;5206.44;0.0;CL-2794232;"";"014"
FCB-06227-00030093;2024-02-17 00:00:00.000;9799.0;1700.65;0.0;CL-2459010;"";"014"
FCB-06227-00030094;2024-02-17 00:00:00.000;44999.0;7809.74;0.0;CL-2794329;"";"014"
FCB-06227-00030095;2024-02-17 00:00:00.000;167996.0;29156.33;0.0;CL-2794472;"";"014"
FCB-06227-00030096;2024-02-17 00:00:00.000;152196.0;26414.18;0.0;CL-2794545;"";"014"
FCB-06227-00030097;2024-02-17 00:00:00.000;20998.5;3644.37;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030098;2024-02-17 00:00:00.000;26099.0;4529.58;0.0;CL-2794606;"";"014"
FCB-06227-00030099;2024-02-17 00:00:00.000;71999.0;12495.69;0.0;CL-2794644;"";"014"
FCB-06227-00030100;2024-02-17 00:00:00.000;45999.0;7983.3;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030101;2024-02-17 00:00:00.000;14699.4;2551.14;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030102;2024-02-17 00:00:00.000;114998.0;19958.33;0.0;CL-1298646;"";"014"
FCB-06227-00030103;2024-02-17 00:00:00.000;10599.0;1839.5;0.0;CL-1199637;"";"014"
FCB-06227-00030104;2024-02-17 00:00:00.000;104998.94;18222.96;0.0;CL-1298646;"";"014"
FCB-06227-00030107;2024-02-17 00:00:00.000;85999.0;14925.45;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030108;2024-02-17 00:00:00.000;104998.94;18222.96;0.0;CL-0940170;"";"014"
FCB-06227-00030109;2024-02-17 00:00:00.000;51399.0;8920.49;0.0;CL-0693900;"";"014"
FCB-06227-00030111;2024-02-17 00:00:00.000;81997.0;14230.88;0.0;CL-1751145;"";"014"
FCB-06227-00030112;2024-02-17 00:00:00.000;9100.0;1579.34;0.0;CL-1162158;"";"014"
FCB-06227-00030113;2024-02-17 00:00:00.000;119498.35;20739.38;0.0;CL-1458807;"";"014"
FCB-06227-00030114;2024-02-17 00:00:00.000;86999.0;15099.0;0.0;CL-2361672;"";"014"
FCB-06227-00030115;2024-02-17 00:00:00.000;105997.0;18396.17;0.0;CL-1455894;"";"014"
FCB-06227-00030118;2024-02-17 00:00:00.000;49999.0;8677.51;0.0;CL-2717798;"";"014"
FCB-06227-00030119;2024-02-17 00:00:00.000;47599.0;8260.98;0.0;CL-2795836;"";"014"
FCB-06227-00030120;2024-02-17 00:00:00.000;124998.0;21693.87;0.0;CL-0410336;"";"014"
FCB-06227-00030121;2024-02-17 00:00:00.000;113998.4;19784.85;0.0;CL-2795927;"";"014"
FCB-06227-00030122;2024-02-17 00:00:00.000;64999.0;11280.82;0.0;CL-2795908;"";"014"
FCB-06227-00030123;2024-02-17 00:00:00.000;59999.4;10413.12;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030125;2024-02-17 00:00:00.000;149999.0;26032.88;0.0;CL-2796059;"";"014"
FCB-06227-00030126;2024-02-17 00:00:00.000;45599.2;7913.91;0.0;CL-2796144;"";"014"
FCB-06227-00030127;2024-02-17 00:00:00.000;49999.0;8677.51;0.0;CL-1690681;"";"014"
FCB-06227-00030128;2024-02-17 00:00:00.000;49999.0;8677.51;0.0;CL-1966881;"";"014"
FCB-06227-00030129;2024-02-17 00:00:00.000;127498.0;22127.75;0.0;CL-2796269;"";"014"
FCB-06227-00030130;2024-02-17 00:00:00.000;85999.0;14925.45;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030132;2024-02-17 00:00:00.000;53999.4;9371.8;0.0;CL-2313168;"";"014"
FCB-06227-00030134;2024-02-17 00:00:00.000;64999.0;11280.82;0.0;CL-0241325;"";"014"
FCB-06227-00030135;2024-02-17 00:00:00.000;307497.0;53367.25;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030136;2024-02-17 00:00:00.000;0.0;0.0;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030137;2024-02-17 00:00:00.000;53999.4;9371.8;0.0;CL-2796773;"";"014"
FCB-06227-00030138;2024-02-17 00:00:00.000;74699.0;12964.29;0.0;CL-2796799;"";"014"
FCB-06227-00030139;2024-02-17 00:00:00.000;99998.0;17355.02;0.0;CL-2796818;"";"014"
FCB-06227-00030140;2024-02-17 00:00:00.000;12498.0;2169.07;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030141;2024-02-17 00:00:00.000;52999.0;9198.17;0.0;CL-2796858;"";"014"
FCB-06227-00030142;2024-02-17 00:00:00.000;113997.94;19784.77;0.0;CL-2796875;"";"014"
FCB-06227-00030143;2024-02-17 00:00:00.000;63299.0;10985.78;0.0;CL-2796926;"";"014"
FCB-06227-00030146;2024-02-17 00:00:00.000;155999.0;27074.21;0.0;CL-2795942;"";"014"
FCB-06227-00030147;2024-02-17 00:00:00.000;70597.0;12252.37;0.0;CL-2797131;"";"014"
FCB-06227-00030148;2024-02-17 00:00:00.000;114998.0;19958.33;0.0;CL-2797243;"";"014"
FCB-06227-00030149;2024-02-17 00:00:00.000;58498.0;10152.55;0.0;CL-0816592;"";"014"
FCB-06227-00030150;2024-02-17 00:00:00.000;6999.0;1214.7;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030151;2024-02-17 00:00:00.000;38999.0;6768.42;0.0;CL-2797733;"";"014"
FCB-06227-00030152;2024-02-17 00:00:00.000;53999.4;9371.8;0.0;CL-1932504;"";"014"
FCB-06227-00030154;2024-02-17 00:00:00.000;20999.0;3644.45;0.0;CL-2797795;"";"014"
FCB-06227-00030155;2024-02-17 00:00:00.000;66899.0;11610.57;0.0;CL-2797806;"";"014"
FCB-06227-00030156;2024-02-17 00:00:00.000;21498.75;3731.19;0.0;CL-2797886;"";"014"
FCB-06227-00030157;2024-02-17 00:00:00.000;14299.0;2481.64;0.0;CL-2797911;"";"014"
FCB-06227-00030158;2024-02-17 00:00:00.000;89998.8;15619.63;0.0;CL-0679721;"";"014"
FCB-06227-00030159;2024-02-17 00:00:00.000;0.0;0.0;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030160;2024-02-17 00:00:00.000;50997.0;8850.72;0.0;CL-0644697;"";"014"
FCB-06227-00030161;2024-02-17 00:00:00.000;236998.0;41131.88;0.0;CL-2792232;"";"014"
FCB-06227-00030162;2024-02-18 00:00:00.000;97999.0;17008.09;0.0;CL-0023924;DON TORCUATO;"014"
FCB-06227-00030163;2024-02-18 00:00:00.000;42052.9;7298.44;2936.74;CL-1988515;"";"014"
FCB-06227-00030164;2024-02-18 00:00:00.000;42998.4;7462.53;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030165;2024-02-18 00:00:00.000;79999.0;13884.12;0.0;CL-2799180;"";"014"
FCB-06227-00030166;2024-02-18 00:00:00.000;53999.4;9371.8;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030167;2024-02-18 00:00:00.000;38999.0;6768.42;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030168;2024-02-18 00:00:00.000;119999.0;20826.27;0.0;CL-2799233;"";"014"
FCB-06227-00030169;2024-02-18 00:00:00.000;204496.0;35491.04;0.0;CL-2799247;"";"014"
FCB-06227-00030170;2024-02-18 00:00:00.000;39999.0;6941.98;0.0;CL-2799271;"";"014"
FCB-06227-00030171;2024-02-18 00:00:00.000;9299.0;1613.88;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030173;2024-02-18 00:00:00.000;51399.0;8920.49;0.0;CL-1712658;"";"014"
FCB-06227-00030174;2024-02-18 00:00:00.000;65598.2;11384.81;0.0;CL-2073733;"";"014"
FCB-06227-00030175;2024-02-18 00:00:00.000;64999.0;11280.82;0.0;CL-2799486;"";"014"
FCB-06227-00030176;2024-02-18 00:00:00.000;129999.0;22561.81;0.0;CL-0150928;BECCAR;"014"
FCB-06227-00030177;2024-02-18 00:00:00.000;56498.0;9805.44;0.0;CL-2799511;"";"014"
FCB-06227-00030178;2024-02-18 00:00:00.000;79999.0;13884.12;0.0;CL-2799516;"";"014"
FCB-06227-00030179;2024-02-18 00:00:00.000;119999.0;20826.27;0.0;CL-2799274;"";"014"
FCB-06227-00030180;2024-02-18 00:00:00.000;64999.0;11280.82;0.0;CL-2799571;"";"014"
FCB-06227-00030181;2024-02-18 00:00:00.000;61099.0;10603.96;0.0;CL-2468508;"";"014"
FCB-06227-00030182;2024-02-18 00:00:00.000;35399.4;6143.7;0.0;CL-0160725;EL TALAR;"014"
FCB-06227-00030183;2024-02-18 00:00:00.000;114298.0;19836.84;0.0;CL-2799631;"";"014"
FCB-06227-00030184;2024-02-18 00:00:00.000;98498.45;17094.77;0.0;CL-2799638;"";"014"
FCB-06227-00030185;2024-02-18 00:00:00.000;101997.45;17702.04;0.0;CL-0528952;"";"014"
FCB-06227-00030186;2024-02-18 00:00:00.000;83598.4;14508.81;0.0;CL-2799682;"";"014"
FCB-06227-00030187;2024-02-18 00:00:00.000;117299.15;20357.7;0.0;CL-2799692;"";"014"
FCB-06227-00030188;2024-02-18 00:00:00.000;139498.0;24210.4;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030189;2024-02-18 00:00:00.000;38999.4;6768.49;0.0;CL-2799725;"";"014"
FCB-06227-00030190;2024-02-18 00:00:00.000;14299.0;2481.64;0.0;CL-2799735;"";"014"
FCB-06227-00030191;2024-02-18 00:00:00.000;49999.0;8677.51;0.0;CL-2799743;"";"014"
FCB-06227-00030192;2024-02-18 00:00:00.000;42644.89;7401.18;5492.14;CL-2799750;"";"014"
FCB-06227-00030193;2024-02-18 00:00:00.000;55298.0;9597.17;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030194;2024-02-18 00:00:00.000;76498.3;13276.56;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030195;2024-02-18 00:00:00.000;48799.0;8469.25;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030196;2024-02-18 00:00:00.000;35999.4;6247.83;0.0;CL-2799779;"";"014"
FCB-06227-00030198;2024-02-18 00:00:00.000;104999.0;18222.97;0.0;CL-2799800;"";"014"
FCB-06227-00030199;2024-02-18 00:00:00.000;28999.0;5032.88;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030200;2024-02-18 00:00:00.000;28999.0;5032.88;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030201;2024-02-18 00:00:00.000;13874.25;2407.93;0.0;CL-2800205;"";"014"
FCB-06227-00030202;2024-02-18 00:00:00.000;63498.0;11020.31;0.0;CL-0091057;TRONCOS DEL TALAR;"014"
FCB-06227-00030203;2024-02-18 00:00:00.000;63299.0;10985.78;0.0;CL-2800240;"";"014"
FCB-06227-00030204;2024-02-18 00:00:00.000;33999.0;5900.65;0.0;CL-2800255;"";"014"
FCB-06227-00030205;2024-02-18 00:00:00.000;47599.0;8260.98;0.0;CL-2800264;"";"014"
FCB-06227-00030206;2024-02-18 00:00:00.000;104998.94;18222.96;0.0;CL-0618981;"";"014"
FCB-06227-00030207;2024-02-18 00:00:00.000;140498.35;24384.01;0.0;CL-2800315;"";"014"
FCB-06227-00030208;2024-02-18 00:00:00.000;104999.0;18222.97;0.0;CL-2800372;"";"014"
FCB-06227-00030210;2024-02-18 00:00:00.000;22999.0;3991.56;0.0;CL-0779385;"";"014"
FCB-06227-00030211;2024-02-18 00:00:00.000;5499.45;954.45;0.0;CL-1457594;"";"014"
FCB-06227-00030212;2024-02-18 00:00:00.000;8199.0;1422.97;0.0;CL-2800554;"";"014"
FCB-06227-00030213;2024-02-18 00:00:00.000;209297.95;36324.44;0.0;CL-2795977;"";"014"
FCB-06227-00030214;2024-02-18 00:00:00.000;99297.0;17233.36;0.0;CL-0118227;"";"014"
FCB-06227-00030215;2024-02-18 00:00:00.000;117498.35;20392.28;0.0;CL-1985187;"";"014"
FCB-06227-00030216;2024-02-18 00:00:00.000;80999.0;14057.68;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030218;2024-02-18 00:00:00.000;55999.0;9718.83;0.0;CL-2800671;"";"014"
FCB-06227-00030219;2024-02-18 00:00:00.000;119999.0;20826.27;0.0;CL-2800779;"";"014"
FCB-06227-00030220;2024-02-18 00:00:00.000;4498.5;780.73;0.0;CL-2656446;"";"014"
FCB-06227-00030221;2024-02-18 00:00:00.000;49999.0;8677.51;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030223;2024-02-18 00:00:00.000;53898.0;9354.2;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030224;2024-02-18 00:00:00.000;52999.0;9198.17;0.0;CL-1618030;"";"014"
FCB-06227-00030225;2024-02-18 00:00:00.000;156147.55;27099.99;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030227;2024-02-18 00:00:00.000;129999.0;22561.81;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030228;2024-02-18 00:00:00.000;99998.0;17355.02;0.0;CL-1939337;"";"014"
FCB-06227-00030229;2024-02-18 00:00:00.000;57098.0;9909.57;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030230;2024-02-18 00:00:00.000;4999.0;867.6;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030231;2024-02-18 00:00:00.000;34968.68;6068.94;4503.54;CL-1808046;"";"014"
FCB-06227-00030232;2024-02-18 00:00:00.000;99999.0;17355.2;0.0;CL-2801013;"";"014"
FCB-06227-00030233;2024-02-18 00:00:00.000;53999.4;9371.8;0.0;CL-2801033;"";"014"
FCB-06227-00030234;2024-02-18 00:00:00.000;20249.65;3514.4;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030235;2024-02-18 00:00:00.000;29999.0;5206.44;0.0;CL-1755387;"";"014"
FCB-06227-00030236;2024-02-18 00:00:00.000;85999.0;14925.45;0.0;CL-2801071;"";"014"
FCB-06227-00030237;2024-02-18 00:00:00.000;59999.4;10413.12;0.0;CL-2801092;"";"014"
FCB-06227-00030238;2024-02-18 00:00:00.000;14999.0;2603.13;0.0;CL-1279801;"";"014"
FCB-06227-00030239;2024-02-18 00:00:00.000;90999.0;15793.21;0.0;CL-2801099;"";"014"
FCB-06227-00030240;2024-02-18 00:00:00.000;132148.15;22934.8;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030241;2024-02-18 00:00:00.000;115298.0;20010.4;0.0;CL-0968273;"";"014"
FCB-06227-00030243;2024-02-20 00:00:00.000;52598.0;9128.58;0.0;CL-2378255;"";"014"
FCB-06227-00030244;2024-02-20 00:00:00.000;8498.0;1474.86;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030245;2024-02-20 00:00:00.000;37439.2;6497.71;0.0;CL-2118865;"";"014"
FCB-06227-00030246;2024-02-20 00:00:00.000;14000.0;2429.75;0.0;CL-2407555;"";"014"
FCB-06227-00030247;2024-02-20 00:00:00.000;109998.4;19090.63;0.0;CL-2806751;"";"014"
FCB-06227-00030248;2024-02-20 00:00:00.000;76398.0;13259.16;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030250;2024-02-20 00:00:00.000;56298.0;9770.73;0.0;CL-2807108;"";"014"
FCB-06227-00030251;2024-02-20 00:00:00.000;66298.2;11506.3;0.0;CL-2807229;"";"014"
FCB-06227-00030252;2024-02-20 00:00:00.000;58599.0;10170.07;0.0;CL-0673111;"";"014"
FCB-06227-00030253;2024-02-20 00:00:00.000;119999.0;20826.27;0.0;CL-0491522;"";"014"
FCB-06227-00030254;2024-02-20 00:00:00.000;72249.15;12539.11;0.0;CL-1008737;"";"014"
FCB-06227-00030255;2024-02-20 00:00:00.000;97999.0;17008.09;0.0;CL-2807318;GENERAL SAN MARTIN;"014"
FCB-06227-00030256;2024-02-20 00:00:00.000;18799.0;3262.64;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030257;2024-02-20 00:00:00.000;52999.0;9198.17;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030258;2024-02-20 00:00:00.000;5000.95;867.93;0.0;CL-2807494;"";"014"
FCB-06227-00030259;2024-02-20 00:00:00.000;69998.4;12148.48;0.0;CL-1524930;"";"014"
FCB-06227-00030260;2024-02-20 00:00:00.000;67698.0;11749.24;0.0;CL-2807513;"";"014"
FCB-06227-00030261;2024-02-20 00:00:00.000;55999.0;9718.83;0.0;CL-2807785;"";"014"
FCB-06227-00030263;2024-02-20 00:00:00.000;45297.0;7861.46;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030265;2024-02-20 00:00:00.000;63299.0;10985.78;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030266;2024-02-20 00:00:00.000;149998.0;26032.71;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030267;2024-02-20 00:00:00.000;59999.4;10413.12;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030268;2024-02-20 00:00:00.000;54098.0;9388.91;0.0;CL-1926644;"";"014"
FCB-06227-00030269;2024-02-20 00:00:00.000;61099.0;10603.96;0.0;CL-2808264;"";"014"
FCB-06227-00030270;2024-02-20 00:00:00.000;38249.15;6638.28;0.0;CL-0881598;"";"014"
FCB-06227-00030271;2024-02-20 00:00:00.000;59498.0;10326.1;0.0;CL-2808301;"";"014"
FCB-06227-00030272;2024-02-20 00:00:00.000;12629.0;2191.81;0.0;CL-1596173;"";"014"
FCB-06227-00030273;2024-02-20 00:00:00.000;62499.0;10846.93;0.0;CL-2808394;"";"014"
FCB-06227-00030274;2024-02-20 00:00:00.000;202397.1;35126.77;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030275;2024-02-20 00:00:00.000;19999.0;3470.9;0.0;CL-1521192;"";"014"
FCB-06227-00030276;2024-02-20 00:00:00.000;119999.0;20826.27;0.0;CL-2808500;"";"014"
FCB-06227-00030278;2024-02-20 00:00:00.000;14999.5;2603.22;0.0;CL-0081502;"";"014"
FCB-06227-00030279;2024-02-20 00:00:00.000;8999.4;1561.88;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030280;2024-02-20 00:00:00.000;6347.85;1101.69;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030281;2024-02-20 00:00:00.000;55999.0;9718.83;0.0;CL-1881930;"";"014"
FCB-06227-00030282;2024-02-20 00:00:00.000;30798.42;5345.18;3966.46;CL-2808863;"";"014"
FCB-06227-00030283;2024-02-20 00:00:00.000;60723.65;10538.82;0.0;CL-2808863;"";"014"
FCB-06227-00030284;2024-02-20 00:00:00.000;106297.0;18448.24;0.0;CL-2809007;"";"014"
FCB-06227-00030285;2024-02-20 00:00:00.000;99999.0;17355.2;0.0;CL-2808500;"";"014"
FCB-06227-00030286;2024-02-20 00:00:00.000;58999.0;10239.5;0.0;CL-1939141;"";"014"
FCB-06227-00030287;2024-02-20 00:00:00.000;15498.0;2689.74;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030242;2024-02-19 00:00:00.000;59999.4;10413.12;0.0;CL-2802973;"";"014"
FCB-06227-00030288;2024-02-20 00:00:00.000;8398.0;1457.5;0.0;CL-2695976;"";"014"
FCB-06227-00030289;2024-02-20 00:00:00.000;79999.0;13884.12;0.0;CL-2809194;"";"014"
FCB-06227-00030290;2024-02-20 00:00:00.000;71698.0;12443.45;0.0;CL-2809206;"";"014"
FCB-06227-00030291;2024-02-20 00:00:00.000;0.0;0.0;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030292;2024-02-20 00:00:00.000;9999.5;1735.45;0.0;CL-2388875;"";"014"
FCB-06227-00030293;2024-02-20 00:00:00.000;49999.0;8677.51;0.0;CL-2809319;"";"014"
FCB-06227-00030295;2024-02-20 00:00:00.000;97999.0;17008.09;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030296;2024-02-20 00:00:00.000;47382.82;8223.46;6102.33;CL-1192467;"";"014"
