"PRODUCTNUMBER";"PRODUCTVARIANTNUMBER";"Marca";"Clase";"Tipo de Producto";"Categoria";"PRODUCTDESCRIPTION";"VENDORORGANIZATIONNAME"
PU379380-07;PU379380-07_6.5_1;Puma;Calzado;Zapatillas;Running;Zapatillas Puma Electrify Nitro 3;PUMA SPORTS ARGENTINA S.A.
PU379391-04;PU379391-04_3_1;Puma;Calzado;Zapatillas;Running;Zapatillas Puma Pro Series;PUMA SPORTS ARGENTINA S.A.
PU379390-01;PU379390-01_6_1;Puma;Calzado;Zapatillas;Running;Zapatillas Puma Run Xx Nitro 2;PUMA SPORTS ARGENTINA S.A.
PU379390-02;PU379390-02_6_1;Puma;Calzado;Zapatillas;Running;Zapatillas Puma Run Xx Nitro 2;PUMA SPORTS ARGENTINA S.A.
PU379374-07;PU379374-07_4.5_1;Puma;Calzado;Zapatillas;Running;Zapatillas Puma Pro Series;PUMA SPORTS ARGENTINA S.A.
PU379383-05;PU379383-05_8_1;Puma;Calzado;Zapatillas;Running;Zapatillas Puma Pro Series;PUMA SPORTS ARGENTINA S.A.
PU379362-06;PU379362-06_4.5_1;Puma;Calzado;Zapatillas;Running;Zapatillas Puma Disperse Xt 3 Knit;PUMA SPORTS ARGENTINA S.A.
PU379373-07;PU379373-07_8.5_1;Puma;Calzado;Zapatillas;Running;Zapatillas Puma Redeem Profoam Engineered;PUMA SPORTS ARGENTINA S.A.
PU379374-04;PU379374-04_5_1;Puma;Calzado;Zapatillas;Running;Zapatillas Puma Pro Series;PUMA SPORTS ARGENTINA S.A.
PU379397-01;PU379397-01_1.5_1;Puma;Calzado;Zapatillas;Kids;Zapatillas Puma Soft Enzo Evo Ps;PUMA SPORTS ARGENTINA S.A.
PU379374-01;PU379374-01_10_1;Puma;Calzado;Zapatillas;Running;Zapatillas Puma Pro Series;PUMA SPORTS ARGENTINA S.A.
PU379383-01;PU379383-01_9_1;Puma;Calzado;Zapatillas;Running;Zapatillas Puma Pro Series;PUMA SPORTS ARGENTINA S.A.
PU379383-01;PU379383-01_11_1;Puma;Calzado;Zapatillas;Running;Zapatillas Puma Pro Series;PUMA SPORTS ARGENTINA S.A.
PU379393-02;PU379393-02_10_1;Puma;Calzado;Zapatillas;Running;Zapatillas Puma Softride Enzo Evo Hyperwave;PUMA SPORTS ARGENTINA S.A.
PU381172-01;PU381172-01_8_1;Puma;Calzado;Sandalias;Natacion;Sandalias Puma Sportie;PUMA SPORTS ARGENTINA S.A.
PU382161-05;PU382161-05_10.5_1;Puma;Calzado;Zapatillas;Moda;;PUMA SPORTS ARGENTINA S.A.
PU383379-02;PU383379-02_8_1;Puma;Calzado;Sandalias;Moda;Las Sandalias Puma Mayu presentan un diseño moderno y urbano, fácil de combinar en los días de más calor. Lucí un calzado fresco durante tu jornada, cuentan con ajuste elástico que las hace fácil de quitar y poner. Su suela ancha le da estabilidad a tus;PUMA SPORTS ARGENTINA S.A.
PU384288-30;PU384288-30_11_1;Puma;Calzado;Zapatillas;Moda;Zapatillas Puma Graviton Pro;PUMA SPORTS ARGENTINA S.A.
PU384288-30;PU384288-30_8.5_1;Puma;Calzado;Zapatillas;Moda;Zapatillas Puma Graviton Pro;PUMA SPORTS ARGENTINA S.A.
PU384288-26;PU384288-26_9_1;Puma;Calzado;Zapatillas;Moda;Zapatillas Puma Graviton Pro;PUMA SPORTS ARGENTINA S.A.
PU385033-02;PU385033-02_8_1;Puma;Calzado;Ojotas;Natacion;;PUMA SPORTS ARGENTINA S.A.
PU385038-24;PU385038-24_8_1;Puma;Calzado;Zapatillas;Kids;Zapatillas Puma Graviton Ac Inf;PUMA SPORTS ARGENTINA S.A.
PU386139-01;PU386139-01_9_1;Puma;Calzado;Zapatillas;Kids;;PUMA SPORTS ARGENTINA S.A.
PU386494-01;PU386494-01_8_1;Puma;Calzado;Zapatillas;Moda;;PUMA SPORTS ARGENTINA S.A.
PU386494-01;PU386494-01_4_1;Puma;Calzado;Zapatillas;Moda;;PUMA SPORTS ARGENTINA S.A.
PU388258-03;PU388258-03_6_1;Puma;Calzado;Zapatillas;Moda;Zapatillas Puma Ca Pro Classic;PUMA SPORTS ARGENTINA S.A.
PU388258-03;PU388258-03_6.5_1;Puma;Calzado;Zapatillas;Moda;Zapatillas Puma Ca Pro Classic;PUMA SPORTS ARGENTINA S.A.
PU388258-02;PU388258-02_5_1;Puma;Calzado;Zapatillas;Moda;;PUMA SPORTS ARGENTINA S.A.
PU388258-03;PU388258-03_10_1;Puma;Calzado;Zapatillas;Moda;Zapatillas Puma Ca Pro Classic;PUMA SPORTS ARGENTINA S.A.
PU388258-01;PU388258-01_10_1;Puma;Calzado;Zapatillas;Moda;;PUMA SPORTS ARGENTINA S.A.
PU388258-01;PU388258-01_11_1;Puma;Calzado;Zapatillas;Moda;;PUMA SPORTS ARGENTINA S.A.
PU388270-01;PU388270-01_3_1;Puma;Calzado;Zapatillas;Kids;Las zapatillas Puma Básket Classic XXI se inspiran en un clásico de la década del 70 en una versión actualizada y para los más cancheros. Confeccionados en su exterior con cuero y en su parte baja con suela de goma para mayor adherencia, es un calzado qu;PUMA SPORTS ARGENTINA S.A.
PU388269-03;PU388269-03_1_1;Puma;Calzado;Zapatillas;Kids;Las zapatillas Puma Básket Classic XXI se inspiran en un clásico de la década del 70 en una versión actualizada y para los más cancheros. Confeccionados en su exterior con cuero y en su parte baja con suela de goma para mayor adherencia, es un calzado qu;PUMA SPORTS ARGENTINA S.A.
PU388258-41;PU388258-41_3_1;Puma;Calzado;Zapatillas;Moda;Zapatillas Puma Ca Pro Classic;PUMA SPORTS ARGENTINA S.A.
PU388265-02;PU388265-02_4.5_1;Puma;Calzado;Zapatillas;Moda;Zapatillas Puma Mayze;PUMA SPORTS ARGENTINA S.A.
PU388265-02;PU388265-02_5.5_1;Puma;Calzado;Zapatillas;Moda;Zapatillas Puma Mayze;PUMA SPORTS ARGENTINA S.A.
PU388265-02;PU388265-02_3_1;Puma;Calzado;Zapatillas;Moda;Zapatillas Puma Mayze;PUMA SPORTS ARGENTINA S.A.
PU388981-05;PU388981-05_5_1;Puma;Calzado;Zapatillas;Moda;Zapatillas Puma Suede Classic Xxi;PUMA SPORTS ARGENTINA S.A.
PU388973-05;PU388973-05_7.5_1;Puma;Calzado;Zapatillas;Moda;Zapatillas Puma Future Rider Play On;PUMA SPORTS ARGENTINA S.A.
PU388973-05;PU388973-05_9.5_1;Puma;Calzado;Zapatillas;Moda;Zapatillas Puma Future Rider Play On;PUMA SPORTS ARGENTINA S.A.
MG110MT356610W2;MG110MT356610W2_36_1;Montagne;Calzado;Zapatillas;Outdoor;Zapatillas Montagne Seilas Gtx;MIDING SOCIEDAD DE RESPONSABILIDAD LIMITAD
NI45C602-023;NI45C602-023_L_1;Nike;Indumentaria;Remeras;Kids;Remera Jordan Rookie Sky;ARGOLF S.A.
NI553558-066;NI553558-066_13_1;Nike;Calzado;Zapatillas;Basquet;Zapatillas Jordan 1 Low;SOUTHBAY S.R.L.
NI553558-515;NI553558-515_11_1;Nike;Calzado;Zapatillas;Basquet;Zapatillas Jordan Air 1 Low;SOUTHBAY S.R.L.
NI878068-001;NI878068-001_7_1;Nike;Calzado;Zapatillas;Moda;Zapatillas Nike Air P;SOUTHBAY S.R.L.
NI883723-010;NI883723-010_XS_1;Nike;Indumentaria;Pantalones;Moda;;SOUTHBAY S.R.L.
NI95B402-GBX;NI95B402-GBX_S_1;Nike;Indumentaria;Buzos;Kids;Buzo Jordan Colorblock Windbraker;ARGOLF S.A.
NI95C513-R78;NI95C513-R78_XL_1;Nike;Indumentaria;Buzos;Kids;Buzo Jordan Sport Crossover;ARGOLF S.A.
NI95C105-023;NI95C105-023_M_1;Nike;Indumentaria;Pantalones;Kids;Pantalon Jordan Flight;ARGOLF S.A.
NIAQ9129-103;NIAQ9129-103_8.5_1;Nike;Calzado;Zapatillas;Basquet;Zapatillas Jordan 4 Retro;SOUTHBAY S.R.L.
NIAR4161-001;NIAR4161-001_11C_1;Nike;Calzado;Zapatillas;Kids;;SOUTHBAY S.R.L.
NIAR4997-310;NIAR4997-310_S_1;Nike;Indumentaria;Remeras;Moda;Remera Nike Sportswear Club;SOUTHBAY S.R.L.
NIAR4997-013;NIAR4997-013_S_1;Nike;Indumentaria;Remeras;Moda;;SOUTHBAY S.R.L.
NIBQ6472-146;NIBQ6472-146_8.5_1;Nike;Calzado;Zapatillas;Basquet;Zapatillas Nike Air Jordan 1 Mid;SOUTHBAY S.R.L.
NIBV3630-010;NIBV3630-010_M_1;Nike;Indumentaria;Tops;Training;El top Nike Dri-Fit Swoosh está confeccionado en poliéster y spandex para una mayor resistencia y libertad de movimiento mientras entrenás. De corte regular, incorpora la tecnología Dri-FIT que mantiene el sudor lejos de la piel para una mayor comodidad.;SOUTHBAY S.R.L.
NICD4165-019;NICD4165-019_10_1;Nike;Calzado;Zapatillas;Moda;Zapatillas Nike Air Max Excee;SOUTHBAY S.R.L.
NICD4165-019;NICD4165-019_11_1;Nike;Calzado;Zapatillas;Moda;Zapatillas Nike Air Max Excee;SOUTHBAY S.R.L.
NICD4165-019;NICD4165-019_7_1;Nike;Calzado;Zapatillas;Moda;Zapatillas Nike Air Max Excee;SOUTHBAY S.R.L.
NICD5432-003;NICD5432-003_6_1;Nike;Calzado;Zapatillas;Moda;Lucí con estilo en tus entrenamientos o en tu día a día gracias a las Zapatillas Nike Air Max Excee, su tecnología Air max te brinda mejores y amortiguadas pisadas que te harán sentir seguro y confiado en cualquier momento que las lleves puestas.;SOUTHBAY S.R.L.
NICD5432-003;NICD5432-003_7_1;Nike;Calzado;Zapatillas;Moda;Lucí con estilo en tus entrenamientos o en tu día a día gracias a las Zapatillas Nike Air Max Excee, su tecnología Air max te brinda mejores y amortiguadas pisadas que te harán sentir seguro y confiado en cualquier momento que las lleves puestas.;SOUTHBAY S.R.L.
NICD5432-121;NICD5432-121_6_1;Nike;Calzado;Zapatillas;Moda;Zapatillas Nike Air Max Excee;SOUTHBAY S.R.L.
NICD4165-118;NICD4165-118_9.5_1;Nike;Calzado;Zapatillas;Moda;Zapatillas Nike Air Max Excee;SOUTHBAY S.R.L.
NICD5432-604;NICD5432-604_8.5_1;Nike;Calzado;Zapatillas;Moda;Zapatillas Nike Air Max Excee;SOUTHBAY S.R.L.
NICD5432-604;NICD5432-604_9_1;Nike;Calzado;Zapatillas;Moda;Zapatillas Nike Air Max Excee;SOUTHBAY S.R.L.
NICI8797-008;NICI8797-008_10_1;Nike;Calzado;Sandalias;Natacion;;SOUTHBAY S.R.L.
NICD7069-101;NICD7069-101_8_1;Nike;Calzado;Zapatillas;Basquet;Zapatillas Jordan Air Legacy 312 Low;SOUTHBAY S.R.L.
NICI0919-100;NICI0919-100_6_1;Nike;Calzado;Zapatillas;Moda;Zapatillas Nike Nsw A;SOUTHBAY S.R.L.
NICJ0921-687;NICJ0921-687_L_1;Nike;Indumentaria;Remeras;Basquet;;SOUTHBAY S.R.L.
NICJ0921-100;NICJ0921-100_M_1;Nike;Indumentaria;Remeras;Moda;Remera Jordan Jumpman;SOUTHBAY S.R.L.
NICK5324-010;NICK5324-010_S_1;Nike;Accesorios;Gorras;Moda;;SOUTHBAY S.R.L.
NICK9246-136;NICK9246-136_6.5_1;Nike;Calzado;Zapatillas;Basquet;Zapatillas Jordan Air 3 Retro;SOUTHBAY S.R.L.
NICK9246-067;NICK9246-067_8.5_1;Nike;Calzado;Zapatillas;Basquet;;SOUTHBAY S.R.L.
NICN9675-002;NICN9675-002_12_1;Nike;Calzado;Ojotas;Natacion;;SOUTHBAY S.R.L.
NICK9871-100;NICK9871-100_L_1;Nike;Indumentaria;Camisetas;Futbol;;SOUTHBAY S.R.L.
NICK9283-201;NICK9283-201_10_1;Nike;Calzado;Sandalias;Natacion;;SOUTHBAY S.R.L.
NICT2302-002;NICT2302-002_9.5_1;Nike;Calzado;Zapatillas;Moda;Zapatillas Nike Air F;SOUTHBAY S.R.L.
NICT8532-148;NICT8532-148_8.5_1;Nike;Calzado;Zapatillas;Basquet;Zapatillas Jordan Air 3 Retro;SOUTHBAY S.R.L.
NICU3528-400;NICU3528-400_7.5_1;Nike;Calzado;Zapatillas;Running;Las zapatillas Nike run Swift están pensadas para tus jornadas de running cotidianas y de corta distancia. Brinda transpirabilidad y estabilidad constante gracias a su tejido de malla en toda el calzado. Su suela duradera te ofrece mayor confort, no impo;SOUTHBAY S.R.L.
NICW2288-111;NICW2288-111_11_1;Nike;Calzado;Zapatillas;Moda;Zapatillas Nike Air F;SOUTHBAY S.R.L.
NICW2386-101;NICW2386-101_6.5_1;Nike;Calzado;Zapatillas;Moda;;SOUTHBAY S.R.L.
NICU9890-025;NICU9890-025_OS_1;Nike;Accesorios;Gorras;Moda;;ARGOLF S.A.
NICW4554-101;NICW4554-101_7.5_1;Nike;Calzado;Zapatillas;Moda;Zapatillas Nike Air Max Sc;SOUTHBAY S.R.L.
NICW4554-601;NICW4554-601_5_1;Nike;Calzado;Zapatillas;Moda;Zapatillas Nike Air Max Sc;SOUTHBAY S.R.L.
NICW4554-001;NICW4554-001_8.5_1;Nike;Calzado;Zapatillas;Moda;;SOUTHBAY S.R.L.
NICW6539-601;NICW6539-601_10.5_1;Nike;Calzado;Zapatillas;Moda;;SOUTHBAY S.R.L.
NIDA1176-146;NIDA1176-146_11.5_1;Nike;Calzado;Botines;Futbol;Botines Nike Legend 9 Club Fg/mg;SOUTHBAY S.R.L.
NIDA1176-146;NIDA1176-146_7_1;Nike;Calzado;Botines;Futbol;Botines Nike Legend 9 Club Fg/mg;SOUTHBAY S.R.L.
NIDA2776-008;NIDA2776-008_6.5Y_1;Nike;Calzado;Zapatillas;Kids;Las Zapatillas Nike Star Runner 3 son ultra ligeras ideales para runners cuya única competencia son ellos mismos. Cuentan con un diseño atlético y funcional de entrada acolchada y cordones resistentes. Poseen una parte superior sintética y de textil de d;SOUTHBAY S.R.L.
NIDA1191-001;NIDA1191-001_10_1;Nike;Calzado;Botines;Futbol;;SOUTHBAY S.R.L.
NIDB2477-300;NIDB2477-300_9_1;Nike;Calzado;Zapatillas;Moda;;SOUTHBAY S.R.L.
NIDC0774-200;NIDC0774-200_6.5_1;Nike;Calzado;Zapatillas;Basquet;Zapatillas Jordan Air 1 Low;SOUTHBAY S.R.L.
NIDC0774-200;NIDC0774-200_8.5_1;Nike;Calzado;Zapatillas;Basquet;Zapatillas Jordan Air 1 Low;SOUTHBAY S.R.L.
NIDC3728-003;NIDC3728-003_12_1;Nike;Calzado;Zapatillas;Running;Suma más y más kilómetros con tus Zapatillas Nike Revolution 6 Next Nature, que aportan amortiguación y confort a cada paso que des. Su capellada transpirable y suela diseñada por computadora para una mejor tracción son ideales hasta para los corredores;SOUTHBAY S.R.L.
NIDC3728-007;NIDC3728-007_7.5_1;Nike;Calzado;Zapatillas;Running;"Pasos amortiguados, una estética cuidada y una pisada más flexible; todo esto es posible con las Zapatillas Nike Revolution 6, diseñadas con una capellada de malla para mejorar la transpirabilidad y una suela que aporta tracción en cada carrera. La malla";SOUTHBAY S.R.L.
NIDC3728-403;NIDC3728-403_9.5_1;Nike;Calzado;Zapatillas;Running;Zapatillas Nike Revolution 6 Nn;SOUTHBAY S.R.L.
NIDC3729-104;NIDC3729-104_9_1;Nike;Calzado;Zapatillas;Running;Zapatillas Nike Revolution 6 Next Nature;SOUTHBAY S.R.L.
NIDC3979-010;NIDC3979-010_L/XL_1;Nike;Accesorios;Gorras;Moda;Gorra Nike Sportswear Classic 99;SOUTHBAY S.R.L.
NIDC3729-601;NIDC3729-601_8_1;Nike;Calzado;Zapatillas;Running;;SOUTHBAY S.R.L.
NIDC9486-101;NIDC9486-101_8.5_1;Nike;Calzado;Zapatillas;Moda;;SOUTHBAY S.R.L.
NIDD0204-007;NIDD0204-007_9_1;Nike;Calzado;Zapatillas;Running;Zapatillas Nike Quest 5;SOUTHBAY S.R.L.
NIDD0204-007;NIDD0204-007_10_1;Nike;Calzado;Zapatillas;Running;Zapatillas Nike Quest 5;SOUTHBAY S.R.L.
NIDD1503-301;NIDD1503-301_8.5_1;Nike;Calzado;Zapatillas;Moda;Zapatillas Nike Dunk Low;SOUTHBAY S.R.L.
NIDD1869-103;NIDD1869-103_7.5_1;Nike;Calzado;Zapatillas;Moda;Zapatillas Nike Dunk High;SOUTHBAY S.R.L.
NIDD1869-103;NIDD1869-103_9.5_1;Nike;Calzado;Zapatillas;Moda;Zapatillas Nike Dunk High;SOUTHBAY S.R.L.
NIDD1503-118;NIDD1503-118_10_1;Nike;Calzado;Zapatillas;Moda;Zapatillas Nike Dunk Low;SOUTHBAY S.R.L.
NIDD1503-101;NIDD1503-101_9.5_1;Nike;Calzado;Zapatillas;Moda;;SOUTHBAY S.R.L.
NIDD1399-700;NIDD1399-700_8_1;Nike;Calzado;Zapatillas;Moda;;SOUTHBAY S.R.L.
NIDD6203-401;NIDD6203-401_8_1;Nike;Calzado;Zapatillas;Running;;SOUTHBAY S.R.L.
NIDD6203-401;NIDD6203-401_7.5_1;Nike;Calzado;Zapatillas;Running;;SOUTHBAY S.R.L.
NIDD6831-010;NIDD6831-010_M_1;Nike;Indumentaria;Shorts;Running;Corre hacia tus metas con el Short Nike Swoosh Run, diseñado en poliéster para una mayor durabilidad y con tecnología de absorción de humedad Dri-FIT. Cuenta con un bolsillo incorporado para guardar una llave y que puedas entrenar fresca y liviana, sin c;SOUTHBAY S.R.L.
NIDD9293-100;NIDD9293-100_9_1;Nike;Calzado;Zapatillas;Kids;Zapatillas Nike Downshifter 12;SOUTHBAY S.R.L.
NIDD8959-103;NIDD8959-103_8_1;Nike;Calzado;Zapatillas;Moda;Zapatillas Nike Air Force 1 07;SOUTHBAY S.R.L.
NIDD9294-600;NIDD9294-600_6.5_1;Nike;Calzado;Zapatillas;Running;;SOUTHBAY S.R.L.
NIDD9291-003;NIDD9291-003_7_1;Nike;Calzado;Zapatillas;Running;;SOUTHBAY S.R.L.
NIDD9293-007;NIDD9293-007_10_1;Nike;Calzado;Zapatillas;Running;;SOUTHBAY S.R.L.
NIDD9278-006;NIDD9278-006_8.5_1;Nike;Calzado;Zapatillas;Running;;SOUTHBAY S.R.L.
NIDD9293-001;NIDD9293-001_10_1;Nike;Calzado;Zapatillas;Running;;SOUTHBAY S.R.L.
NIDD9477-600;NIDD9477-600_10_1;Nike;Calzado;Botines;Futbol;Botines Nike Phantom Gx Academy Tf;SOUTHBAY S.R.L.
NIDH2987-001;NIDH2987-001_12_1;Nike;Calzado;Zapatillas;Moda;;SOUTHBAY S.R.L.
NIDH2987-001;NIDH2987-001_10.5_1;Nike;Calzado;Zapatillas;Moda;;SOUTHBAY S.R.L.
NIDH2920-001;NIDH2920-001_6Y_1;Nike;Calzado;Zapatillas;Kids;Zapatillas Nike Air Force 1 Low Le;SOUTHBAY S.R.L.
NIDH3158-102;NIDH3158-102_7_1;Nike;Calzado;Zapatillas;Moda;;SOUTHBAY S.R.L.
NIDH3158-101;NIDH3158-101_10_1;Nike;Calzado;Zapatillas;Moda;;SOUTHBAY S.R.L.
NIDH8010-002;NIDH8010-002_8.5_1;Nike;Calzado;Zapatillas;Moda;Zapatillas Nike Air Max 90 Nn;SOUTHBAY S.R.L.
NIDH8010-101;NIDH8010-101_10_1;Nike;Calzado;Zapatillas;Moda;Zapatillas Nike Air Max 90;SOUTHBAY S.R.L.
NIDH8698-045;NIDH8698-045_L_1;Nike;Indumentaria;Remeras;Futbol;;SOUTHBAY S.R.L.
NIDH8698-045;NIDH8698-045_M_1;Nike;Indumentaria;Remeras;Futbol;;SOUTHBAY S.R.L.
